Country Code,Short Name,Table Name,Long Name,Region,Income Group,Other groups,GovernmentEffectiveness,Political StabilityNoViolence,VoiceandAccountability,Pop_female,Pop_male,Pop_total,Adolescent fertility %,Women justified in beating %,Energy pc,GDP pc,Human capital index,Statistical performance indicator,Freedom_Index,Economy_Index
IRL,Ireland,Ireland,Ireland,Europe & Central Asia,High income,Euro area,1.3714786529541,0.951973378658295,1.31459078788757,2374850.5,2333885.9,4708736.4,0.933904,,2874.47943929388,66183.9635243371,0.794644223093987,85.72875,0.86833235006675,0.698641838495993
CHE,Switzerland,Switzerland,Switzerland,Europe & Central Asia,High income,,2.01092941761017,1.31583909988403,1.55805442333221,4155551,4065383.6,8220934.6,0.3157,,3179.98442331557,66014.0149374302,0.764341617703438,87.0630208333333,0.970964850192119,0.684573987858012
NOR,Norway,Norway,Kingdom of Norway,Europe & Central Asia,High income,,1.89330167770386,1.17321152687073,1.69325430393219,2556826.7,2586940.7,5143767.4,0.575158,,6053.28515221514,63012.3990156838,0.770288266777992,85.4236458333333,0.961649273609617,0.727428420206195
ARE,United Arab Emirates,United Arab Emirates,United Arab Emirates,Middle East & North Africa,High income,,1.42992548942566,0.671721053123474,-1.09805953502655,2648523.3,6607778.4,9256301.7,1.224786,,7428.12453568367,62373.7120077228,0.65732180094719,57.160625,0.642798727651592,0.679427944823451
USA,United States,United States,United States of America,North America,High income,,1.5121586561203,0.437593740224838,1.05621844530106,161392135.7,157857193.3,319249329,2.4206,,6956.82556393942,57998.5042903521,0.717238941669464,88.6464583333333,0.817084617394167,0.685732810949623
KWT,Kuwait,Kuwait,State of Kuwait,Middle East & North Africa,High income,,-0.0885319087654352,0.000236708670854568,-0.624653625488281,1511411.3,2180496.1,3691907.4,0.896172,,10226.8083883778,55748.7905891726,0.568640700221062,57.6851041666667,0.505045912587312,0.643092003919538
AUT,Austria,Austria,Republic of Austria,Europe & Central Asia,High income,Euro area,1.47930929660797,0.997769820690155,1.3542311668396,4395185.9,4215673.2,8610859.1,0.79731,,3890.4226680742,53694.956399004,0.761548746943474,88.6275,0.88428926572158,0.63345748668632
NLD,Netherlands,Netherlands,Kingdom of the Netherlands,Europe & Central Asia,High income,Euro area,1.83326263427734,0.895590245723724,1.56644148826599,8518479.8,8422610.3,16941090.1,0.41432,,4577.83810091605,53662.3304338148,0.797513183951378,83.5564583333333,0.923830756531033,0.668851501533691
DNK,Denmark,Denmark,Kingdom of Denmark,Europe & Central Asia,High income,,1.86609101295471,0.91917279958725,1.56008396148682,2854781.3,2820495.2,5675276.5,0.437928,,3107.84872230824,53495.9062272459,0.762166264414787,82.2544791666667,0.927858861644432,0.618003120484273
ISL,Iceland,Iceland,Republic of Iceland,Europe & Central Asia,High income,,1.46245746612549,1.41729204654694,1.37144556045532,165793.3,167392.6,333185.9,0.800218,,17730.664810153,51286.1189760513,0.745972645878792,74.2772916666667,0.917481609146429,0.873621228337396
DEU,Germany,Germany,Federal Republic of Germany,Europe & Central Asia,High income,Euro area,1.67912623882294,0.630083048343658,1.38707885742188,41507656.4,40172030.3,81679686.7,0.811002,,3880.06410866668,51163.623797889,0.767668883800506,86.3535416666667,0.874646475119909,0.624186876302656
SWE,Sweden,Sweden,Kingdom of Sweden,Europe & Central Asia,High income,,1.81759943962097,0.989722120761871,1.58244004249573,4897754.8,4889972.4,9787727.2,0.529442,,5197.96829106579,50339.85386052,0.789995101094246,88.4866666666667,0.931342873131579,0.658944660993004
BEL,Belgium,Belgium,Kingdom of Belgium,Europe & Central Asia,High income,Euro area,1.23006439208984,0.469569146633148,1.38318104743958,5704221.9,5527756.1,11231978,0.555588,,4978.45803968382,49536.5869225418,0.758226566195488,78.6855208333333,0.824490310874773,0.630781694467696
AUS,Australia,Australia,Commonwealth of Australia,East Asia & Pacific,High income,,1.56738963127136,0.982446837425232,1.36779654026031,11863598.8,11803026.1,23666624.9,1.217962,,5566.75412627213,47538.2143001612,0.777229315757751,88.2714583333334,0.891538908287677,0.64364374907335
SAU,Saudi Arabia,Saudi Arabia,Kingdom of Saudi Arabia,Middle East & North Africa,High income,,0.269675746560097,-0.530553126335144,-1.7006767988205,13396913.1,17707257.5,31104170.6,0.891344,,6647.61078674019,47452.2333801692,0.572649797201157,54.9414583333334,0.399922750553689,0.535483296047653
CAN,Canada,Canada,Canada,North America,High income,,1.76909086704254,1.12971465587616,1.47544410228729,17972014.4,17687493.6,35659508,0.996576,,7784.40832611702,47293.5922949856,0.792678454279899,86.69125,0.929139095304697,0.694091770823252
FIN,Finland,Finland,Republic of Finland,Europe & Central Asia,High income,Euro area,1.89845933914185,0.988970291614532,1.56597757339478,2773151.3,2685474.5,5458625.8,0.668022,,6316.07953340817,46524.677020092,0.810461622834206,88.3005208333333,0.936552811761672,0.673496047123813
BHR,Bahrain,Bahrain,Kingdom of Bahrain,Middle East & North Africa,High income,,0.312040576338768,-0.866162693500519,-1.37800126075745,523504.2,873734.3,1397238.5,1.368944,,10159.3099650107,46392.1550203646,0.647320766568184,49.7428125,0.404801042601318,0.643400023096516
GBR,United Kingdom,United Kingdom,United Kingdom of Great Britain and Northern Ireland,Europe & Central Asia,High income,,1.50745763778687,0.354218769818544,1.31502482891083,32901886.9,31952043.4,64853930.3,1.611854,,2962.52619432446,44423.3873805581,0.776594723701477,82.9015625,0.832457168094106,0.578022583740175
FRA,France,France,French Republic,Europe & Central Asia,High income,Euro area,1.41185491085052,0.128295633941889,1.16297655105591,34158072.7,32091864.4,66249937.1,0.572626,,3814.20283982422,43800.831404103,0.76014733672142,86.090625,0.793596879951193,0.580676275976511
ITA,Italy,Italy,Italian Republic,Europe & Central Asia,High income,Euro area,0.472134035825729,0.3730015873909,1.02868189811707,30990635.4,29193195.9,60183831.3,0.55943,,2657.33372221575,41554.9368757144,0.749991478085518,90.0845833333333,0.7235605388215,0.540940926446457
NZL,New Zealand,New Zealand,New Zealand,East Asia & Pacific,High income,,1.76693773269653,1.53592309951782,1.56786544322968,2345038.5,2266801.5,4611840,2.13302,,4350.79623539544,40601.4156830007,0.773209432840347,82.7597916666667,0.968988905417661,0.582710911006793
JPN,Japan,Japan,Japan,East Asia & Pacific,High income,,1.69723513126373,1.05143176317215,0.99015566110611,65036625,62160208.9,127196833.9,0.413292,,3584.73194030106,39646.7117521587,0.826402743220329,80.75,0.875127657981731,0.596662062595978
KOR,Korea,Korea. Rep.,Republic of Korea,East Asia & Pacific,High income,,1.14165651798248,0.344965711236,0.71653505563736,25339058.5,25438596.2,50777654.7,0.15689,,5240.81576626206,38653.01019194,0.825737186074257,81.941875,0.749800045496926,0.622552432650324
MLT,Malta,Malta,Republic of Malta,Middle East & North Africa,High income,Euro area,0.927560138702393,1.15484313964844,1.16063828468323,223601.8,223241.1,446842.9,1.325292,,1936.15062589696,38194.3654768548,0.699739223957062,73.7783333333333,0.834320521546307,0.478648791660547
ESP,Spain,Spain,Kingdom of Spain,Europe & Central Asia,High income,Euro area,1.0649822473526,0.313218122720718,1.05298125743866,23706484.6,22958213.5,46664698.1,0.85042,,2610.66960436418,37902.2043469664,0.728924251914024,87.394375,0.769992823592511,0.508226575553276
ISR,Israel,Israel,State of Israel,Middle East & North Africa,High income,,1.33056313991547,-0.891567742824554,0.713264107704163,4193370.4,4121759.6,8315130,1.06002,,2916.80544911643,37651.9494984816,0.744582203149796,76.8852083333333,0.667583952679935,0.522562192455304
CYP,Cyprus,Cyprus,Republic of Cyprus,Europe & Central Asia,High income,Euro area,0.968586599826813,0.541751140356064,1.04978861808777,578293.9,578439.5,1156733.4,0.491092,,1932.47914348499,36464.3099230354,0.736874807119369,76.1235416666667,0.779773026434884,0.493027052721124
CZE,Czech Republic,Czech Republic,Czech Republic,Europe & Central Asia,High income,,0.9792839884758,0.989215040206909,0.981735122203827,5366734.2,5186218.7,10552952.9,1.137172,,4022.40762967649,36300.9718989853,0.756435810208321,81.6876041666666,0.810089166427335,0.544046485960989
BHS,The Bahamas,Bahamas. The,Commonwealth of The Bahamas,Latin America & Caribbean,High income,,0.606917536258697,0.914352667331696,0.876466071605682,191748.4,180744,372492.4,3.156634,,,36237.3767209712,,46.3626041666667,0.764286454225971,0.180608870685691
SVN,Slovenia,Slovenia,Republic of Slovenia,Europe & Central Asia,High income,Euro area,1.09551519155502,0.908398985862732,1.00060118436813,1038369.8,1025406,2063775.8,0.424208,,3385.53239134298,34803.6260546742,0.775951328992844,88.2788541666667,0.814958069158264,0.536573657426195
PRT,Portugal,Portugal,Portuguese Republic,Europe & Central Asia,High income,Euro area,1.22502074241638,1.05490387678146,1.18786554336548,5465891.7,4939885.7,10405777.4,1.007268,,2108.27992484671,31960.9629940626,0.767757037520409,85.2117708333334,0.853397082539729,0.492743348118158
EST,Estonia,Estonia,Republic of Estonia,Europe & Central Asia,High income,Euro area,1.12697505950928,0.635649788379669,1.20634524822235,702596.9,618563.9,1321160.8,1.212066,,4337.34604970976,31383.0768364211,0.75599806535244,83.4028125,0.81380044568785,0.524658066025149
OMN,Oman,Oman,Sultanate of Oman,Middle East & North Africa,High income,,0.182434958219528,0.709247004985809,-1.06783556938171,1450595,2629365.7,4079960.7,1.383274,7.9,6444.82315355966,30741.5488215949,0.597214018583298,55.4170833333333,0.54515213601962,0.46181176186586
LTU,Lithuania,Lithuania,Republic of Lithuania,Europe & Central Asia,High income,Euro area,1.06722308397293,0.790845346450806,0.981555414199829,1574612.1,1345432.9,2920045,1.22751,,2380.23197619954,30558.6266100842,0.70828330206871,81.898125,0.80169809465581,0.45347475740017
GRC,Greece,Greece,Hellenic Republic,Europe & Central Asia,High income,Euro area,0.307992690801621,0.00792114287614822,0.764390695095062,5545739.4,5347306.5,10893045.9,0.796182,,2287.84716303054,29796.1685979973,0.695168168783188,84.0564583333333,0.658361088254049,0.439617465731307
SVK,Slovak Republic,Slovak Republic,Slovak Republic,Europe & Central Asia,High income,Euro area,0.78276207447052,0.807805681228638,0.930801868438721,2787857.6,2634560.6,5422418.2,2.406824,,3113.21004995539,28414.486510059,0.679348795175552,84.7958333333333,0.775119226159757,0.438294711799733
